"Year","Treatment","Gaussian_ATE","Frank_ATE","Clayton_ATE","Gaussian_ATE_Lower95","Frank_ATE_Lower95","Clayton_ATE_Lower95","Gaussian_ATE_Upper95","Frank_ATE_Upper95","Clayton_ATE_Upper95","Gaussian_Dependence_Theta","Frank_Dependence_Theta","Clayton_Dependence_Theta","Signs_Consistent","Max_ATE_Difference","Best_Copula","Best_AIC"
"2004","C-section",-0.0251208146454999,-0.00861866927505386,-0.0156119005243112,-0.0256214904979196,-0.00878741690902301,-0.0159223504734623,-0.0246201387930803,-0.00844992164108471,-0.0153014505751601,0.468475228651551,4.0265691043511,0.223949434355331,TRUE,0.0165021453704461,"Gaussian",2147286614.80738
"2004","ANC 4+",-0.0298731057223993,-0.0136434673120661,-0.0231518438518398,-0.0304958537333422,-0.0139236928287253,-0.0236323313464747,-0.0292503577114564,-0.013363241795407,-0.0226713563572049,0.101034937874894,-0.394629303728278,0.019173127973358,TRUE,0.0162296384103331,"Gaussian",3525015745.61076
"2011","C-section",-0.00815776973367906,0.0175335177590153,-0.0207284332651051,-0.00828460068592078,0.0172778195497716,-0.0210549751975691,-0.00803093878143735,0.0177892159682591,-0.0204018913326411,0.212271836759096,-0.226570082630462,0.266993308809883,FALSE,0.0382619510241204,"Clayton",4603905075.92257
"2011","ANC 4+",0.0103600253498445,0.00466189664063392,-0.000830469946982706,0.0102011694695285,0.00458936659789644,-0.000843580748266835,0.0105188812301605,0.0047344266833714,-0.000817359145698577,-0.110063830181602,-0.457761270855459,4.13993771878517e-08,FALSE,0.0111904952968272,"Gaussian",5372189448.69375
"2017-2018","C-section",0.0149437475874262,0.021322255191528,-0.00951412332409838,0.0146667659085036,0.0209245413166263,-0.00969392263883303,0.0152207292663489,0.0217199690664298,-0.00933432400936372,-0.230584066558698,-2.31423829668904,0.0399093613990104,FALSE,0.0308363785156264,"Frank",6281654241.89686
"2017-2018","ANC 4+",0.0298604161327749,0.0268885367521155,-0.00316831075912966,0.0292853387008882,0.0263597552705141,-0.00322829394472531,0.0304354935646616,0.0274173182337169,-0.00310832757353401,-0.359618514436599,-2.67685116109342,4.13993771878517e-08,FALSE,0.0330287268919046,"Frank",6621152654.32587
"2022","C-section",-0.00306892011147926,0.00236141077540989,-0.0168156847293441,-0.00313749123750076,0.00230852352915571,-0.0171855174933731,-0.00300034898545775,0.00241429802166407,-0.0164458519653152,-0.144131785496526,-1.77130107139653,0.0427120367841362,FALSE,0.019177095504754,"Frank",6568065612.65739
"2022","ANC 4+",-0.0314259113728594,-0.0199870756562095,-0.0385993391623689,-0.0320838299237395,-0.0204430516643294,-0.0393444982165405,-0.0307679928219794,-0.0195310996480896,-0.0378541801081973,0.414744951254176,2.38822290050161,0.498503444915959,TRUE,0.0186122635061594,"Gaussian",6480746626.63973
