"Year","Stage","Treatment","Copula","Copula_Code","Latent_Coef","Latent_SE","P_Value","ATE","ATE_SE","ATE_Lower95","ATE_Upper95"
"2004","Stage1_Csection","C-section","Gaussian","Gaussian_default",-0.351978785859382,0.000437950404699696,0,-0.0251208146454999,0.000255446863479414,-0.0256214904979196,-0.0246201387930803
"2004","Stage2_ANC","ANC 4+","Gaussian","Gaussian_default",-0.419918047219195,0.000520441755938409,0,-0.0298731057223993,0.00031772857701168,-0.0304958537333422,-0.0292503577114564
"2004","Stage1_Csection","C-section","Frank","F",-0.102398758568116,0.000442697510021799,0,-0.00861866927505386,8.60957316169136e-05,-0.00878741690902301,-0.00844992164108471
"2004","Stage2_ANC","ANC 4+","Frank","F",-0.168086144691298,0.00055607133158314,0,-0.0136434673120661,0.000142972202377104,-0.0139236928287253,-0.013363241795407
"2004","Stage1_Csection","C-section","Clayton","C0",-0.199221404747377,0.000420068292640514,0,-0.0156119005243112,0.000158392831199526,-0.0159223504734623,-0.0153014505751601
"2004","Stage2_ANC","ANC 4+","Clayton","C0",-0.308165112386985,0.000382707522183244,0,-0.0231518438518398,0.00024514668093616,-0.0236323313464747,-0.0226713563572049
"2011","Stage1_Csection","C-section","Gaussian","Gaussian_default",-0.149191219003907,0.000371397363867401,0,-0.00815776973367906,6.470966951108e-05,-0.00828460068592078,-0.00803093878143735
"2011","Stage2_ANC","ANC 4+","Gaussian","Gaussian_default",0.163288734403509,0.000330528864640655,0,0.0103600253498445,8.10489185285854e-05,0.0102011694695285,0.0105188812301605
"2011","Stage1_Csection","C-section","Frank","F",0.257333019027558,0.000304431971536025,0,0.0175335177590153,0.000130458270022322,0.0172778195497716,0.0177892159682591
"2011","Stage2_ANC","ANC 4+","Frank","F",0.0769708808340013,0.000296185521832271,0,0.00466189664063392,3.70051238456522e-05,0.00458936659789644,0.0047344266833714
"2011","Stage1_Csection","C-section","Clayton","C0",-0.412942916963901,0.000344208051777812,0,-0.0207284332651051,0.000166603026767339,-0.0210549751975691,-0.0204018913326411
"2011","Stage2_ANC","ANC 4+","Clayton","C0",-0.014337714385748,9.9980027388262e-05,0,-0.000830469946982706,6.68918432863744e-06,-0.000843580748266835,-0.000817359145698577
"2017-2018","Stage1_Csection","C-section","Gaussian","Gaussian_default",0.272210543737448,0.000338904108509126,0,0.0149437475874262,0.00014131718312382,0.0146667659085036,0.0152207292663489
"2017-2018","Stage2_ANC","ANC 4+","Gaussian","Gaussian_default",0.50770571600489,0.00035481202202871,0,0.0298604161327749,0.000293406853003411,0.0292853387008882,0.0304354935646616
"2017-2018","Stage1_Csection","C-section","Frank","F",0.361860150430779,0.000297590477097236,0,0.021322255191528,0.000202915242296834,0.0209245413166263,0.0217199690664298
"2017-2018","Stage2_ANC","ANC 4+","Frank","F",0.463661688087411,0.00031325489034787,0,0.0268885367521155,0.000269786470204799,0.0263597552705141,0.0274173182337169
"2017-2018","Stage1_Csection","C-section","Clayton","C0",-0.219162711756955,0.000290934299582189,0,-0.00951412332409838,9.17343442523736e-05,-0.00969392263883303,-0.00933432400936372
"2017-2018","Stage2_ANC","ANC 4+","Clayton","C0",-0.0682031959149681,9.34689908948045e-05,0,-0.00316831075912966,3.060366612023e-05,-0.00322829394472531,-0.00310832757353401
"2022","Stage1_Csection","C-section","Gaussian","Gaussian_default",-0.0664748827548553,0.000294021777223795,0,-0.00306892011147926,3.49852683783183e-05,-0.00313749123750076,-0.00300034898545775
"2022","Stage2_ANC","ANC 4+","Gaussian","Gaussian_default",-0.619365837236351,0.000321634841182694,0,-0.0314259113728594,0.000335672730040845,-0.0320838299237395,-0.0307679928219794
"2022","Stage1_Csection","C-section","Frank","F",0.0489440055633167,0.00027325338785726,0,0.00236141077540989,2.69832889051946e-05,0.00230852352915571,0.00241429802166407
"2022","Stage2_ANC","ANC 4+","Frank","F",-0.416937333231392,0.000273431070923523,0,-0.0199870756562095,0.000232640820469328,-0.0204430516643294,-0.0195310996480896
"2022","Stage1_Csection","C-section","Clayton","C0",-0.382529034686475,0.000284440883367207,0,-0.0168156847293441,0.000188690185729055,-0.0171855174933731,-0.0164458519653152
"2022","Stage2_ANC","ANC 4+","Clayton","C0",-0.728656519821143,0.000773598891047379,0,-0.0385993391623689,0.000380183190903891,-0.0393444982165405,-0.0378541801081973
