"Year","N","Csec_RBVP_ATE","Csec_2SRI_Coef","Csec_2SRI_SE","Csec_2SRI_P","Csec_2SRI_ATE","Csec_2SRI_ATE_Boot_SE","Csec_2SRI_ATE_Boot_Lower","Csec_2SRI_ATE_Boot_Upper","Csec_Resid_Coef","Csec_Resid_P","Csec_Signs_Consistent","ANC_RBVP_ATE","ANC_2SRI_Coef","ANC_2SRI_SE","ANC_2SRI_P","ANC_2SRI_ATE","ANC_2SRI_ATE_Boot_SE","ANC_2SRI_ATE_Boot_Lower","ANC_2SRI_ATE_Boot_Upper","ANC_Resid_Coef","ANC_Resid_P","ANC_Signs_Consistent"
"2004",3478,0.000389338018751915,-0.593125818453752,0.901539568831024,0.510600297804597,-0.031916980292659,0.224140902709962,-0.0862955465587044,0.972564173955031,1.23392827424415,0.195060823084151,FALSE,-0.000246710511092569,-0.0189232043781757,0.419385554061132,0.964010656118296,-0.001591345521442,0.085835303227684,-0.115404089424832,0.0748178844809552,-0.141961147603836,0.744878692200897,TRUE
"2011",4661,0.00559539320219604,-0.513167261701046,0.527251811069472,0.330410749279198,-0.0248224851563557,0.0433704240860701,0,0.00378761466365892,0.673393342282508,0.213667873368332,FALSE,-0.00164298103358079,-0.00200219753943417,0.313501586455787,0.994904294863347,-0.000129276377366717,0.0596119270700823,-0.000629698205843186,0.00237454093164856,0.0111613113199125,0.972736284238942,TRUE
"2017-2018",4793,0.0113643289846925,0.218416783028885,0.484659516809473,0.65223442949655,0.0111667053931361,0.0155230873365679,0,0,-0.386771558035759,0.435021905218057,TRUE,0.00413875733178634,0.348670335711086,0.340187028265495,0.305392826775852,0.0172011639885635,0.0339291848420215,-0.00144862839345342,0.00430724809789302,-0.427339083444208,0.225140485133037,TRUE
"2022",4671,-0.0151211069326703,-0.259830581429706,0.343767694745097,0.449750002868168,-0.0123332081055644,0.00163301347127679,-0.00172419438901556,0,-0.00974847240983067,0.978247760496588,TRUE,-0.000882910168452831,-0.838546292915839,0.40449920169562,0.0381678053376261,-0.0380482720304719,0.0306072182830223,-0.000828609226511849,0.000855775325112995,0.876842518532608,0.0348830684923343,TRUE
