"Year","N","Treatment","RBVP_ATE","SRI_Coef","SRI_P","SRI_ATE","SRI_CI_Lo","SRI_CI_Hi","Resid_P","Sign_Consistent"
"2004",3478,"C-section",0.000389338018751915,-0.593125818453752,0.510600297804597,-0.031916980292659,-0.0862955465587044,0.972564173955031,0.195060823084151,FALSE
"2004",3478,"ANC 4+",-0.000246710511092569,-0.0189232043781757,0.964010656118296,-0.001591345521442,-0.115404089424832,0.0748178844809552,0.744878692200897,TRUE
"2011",4661,"C-section",0.00559539320219604,-0.513167261701046,0.330410749279198,-0.0248224851563557,0,0.00378761466365892,0.213667873368332,FALSE
"2011",4661,"ANC 4+",-0.00164298103358079,-0.00200219753943417,0.994904294863347,-0.000129276377366717,-0.000629698205843186,0.00237454093164856,0.972736284238942,TRUE
"2017-2018",4793,"C-section",0.0113643289846925,0.218416783028885,0.65223442949655,0.0111667053931361,0,0,0.435021905218057,TRUE
"2017-2018",4793,"ANC 4+",0.00413875733178634,0.348670335711086,0.305392826775852,0.0172011639885635,-0.00144862839345342,0.00430724809789302,0.225140485133037,TRUE
"2022",4671,"C-section",-0.0151211069326703,-0.259830581429706,0.449750002868168,-0.0123332081055644,-0.00172419438901556,0,0.978247760496588,TRUE
"2022",4671,"ANC 4+",-0.000882910168452831,-0.838546292915839,0.0381678053376261,-0.0380482720304719,-0.000828609226511849,0.000855775325112995,0.0348830684923343,TRUE
