"Year","N","ANC_ATE","ANC_ATE_SE","ANC_ATE_Lower95","ANC_ATE_Upper95","Csec_ATE","Csec_ATE_SE","Csec_ATE_Lower95","Csec_ATE_Upper95"
"2004",3478,-0.000246710511092569,0.00226989183542627,-0.00469569850852806,0.00420227748634293,0.000389338018751915,0.00695867654853227,-0.0132496680163713,0.0140283440538752
"2011",4661,-0.00164298103358079,0.00467429628298005,-0.0108046017482217,0.0075186396810601,0.00559539320219604,0.00671190152261483,-0.00755993378212902,0.0187507201865211
"2017-2018",4793,0.00413875733178634,0.00499373842729854,-0.0056489699857188,0.0139264846492915,0.0113643289846925,0.0090334254353759,-0.00634118486864424,0.0290698428380293
"2022",4671,-0.000882910168452831,0.00460687102012672,-0.0099123773679012,0.00814655703099553,-0.0151211069326703,0.00673670511525898,-0.0283250489585779,-0.0019171649067627
