Year,N,estimate,se,robustness_value_q1,robustness_value_q1_a,partial_r2_yd_x
2004,3863,0.011533628297564916,0.01876227165562406,0.00987739303806845,0,9.852646532412454e-5
2011,4975,-0.001671135002172488,0.007943139549855345,0.00298343972307306,0,8.927467680304742e-6
2017-2018,5073,-0.02229010587342576,0.005745780302006402,0.053090143728971,0.0266230377752001,0.002967757206059355
2022,4992,-0.027327139349320632,0.005236867791463234,0.0719253099215036,0.0455346261552119,0.00554327524764756
